receipt_product_id,price,quantity,product_id,receipt_id
1,1,1,7,1
2,1,5,4,1
3,3,4,4,2
4,1,3,9,2
5,1,6,1,2
6,6,1,6,2
7,1,4,10,2
8,2,4,3,3
9,5,4,2,3
10,5,2,6,3
11,3,5,9,3
12,6,3,3,4
13,1,1,5,4
14,4,3,1,4
15,2,3,5,5
16,5,6,4,5
17,6,4,2,6
18,5,5,5,6
19,2,1,1,7
20,6,4,10,8
21,1,6,9,8
22,2,4,6,8
23,2,2,8,9
24,4,5,3,9
25,4,2,5,10
26,3,4,8,10
27,2,2,7,11
28,2,6,6,11
29,3,1,6,11
30,2,1,5,12
31,1,6,6,12
32,4,3,5,12
33,4,6,8,12
34,6,6,6,12
35,6,5,6,13
36,1,2,5,14
37,4,1,2,15
38,5,2,3,15
39,5,1,3,15
40,1,6,1,15
41,3,6,4,15
42,6,2,9,15
43,2,3,10,16
44,5,4,7,16
45,1,1,5,17
46,5,3,2,17
47,5,2,5,17
48,4,5,4,17
49,4,2,1,17
50,2,3,4,18
51,2,4,8,18
52,4,3,7,18
53,4,6,10,18
54,4,5,9,18
55,1,5,8,18
56,6,5,9,19
57,4,3,9,19
58,5,3,9,20
59,5,4,1,21
60,1,4,6,21
61,2,2,2,21
62,3,3,1,22
63,5,3,2,23
64,4,2,5,23
65,3,6,7,23
66,6,6,10,24
67,5,3,6,25
68,1,3,3,26
69,5,4,5,26
70,6,2,8,26
71,1,5,3,27
72,2,3,3,27
73,5,2,6,27
74,6,5,5,28
75,6,5,8,28
76,1,6,10,29
77,4,3,2,29
78,3,6,7,29
79,4,5,1,29
80,3,1,6,29
81,5,4,7,30
82,2,6,6,30
83,6,3,10,30
84,3,1,10,31
85,4,4,10,31
86,2,3,9,31
87,4,1,7,31
88,6,4,1,31
89,2,2,1,32
90,5,2,10,32
91,3,5,9,32
92,4,5,3,32
93,4,2,4,32
94,6,4,6,33
95,5,6,10,33
96,5,5,8,33
97,6,3,4,33
98,1,4,6,33
99,3,6,4,33
100,2,4,4,34
101,6,6,2,34
102,3,2,10,34
103,6,6,5,35
104,3,1,3,35
105,4,1,6,35
106,3,3,7,35
107,2,6,9,35
108,6,5,2,36
109,3,5,10,36
110,5,2,8,36
111,5,1,10,36
112,2,4,8,37
113,4,1,7,37
114,5,2,6,37
115,6,5,9,37
116,3,2,6,37
117,1,1,7,38
118,3,2,4,38
119,4,1,7,38
120,1,2,3,39
121,3,1,7,39
122,3,1,5,39
123,1,5,8,39
124,4,3,2,40
125,1,2,10,40
126,5,5,4,40
127,3,4,9,41
128,4,4,4,41
129,3,2,10,41
130,5,3,1,41
131,1,2,8,41
132,6,6,5,42
133,1,4,2,43
134,1,6,6,43
135,6,1,4,44
136,3,1,10,45
137,5,2,8,45
138,5,2,9,45
139,4,1,10,46
140,1,4,3,46
141,2,4,3,46
142,2,2,3,47
143,2,1,7,48
144,6,2,7,48
145,1,3,8,49
146,2,5,8,49
147,5,6,8,49
148,1,6,9,50
149,3,4,6,50
150,1,4,2,50
151,5,2,4,50
152,2,4,10,51
153,1,2,5,51
154,2,4,3,52
155,4,5,8,52
156,6,4,10,52
157,1,2,4,52
158,4,2,6,52
159,2,3,4,53
160,5,5,7,53
161,3,2,7,54
162,2,2,10,54
163,1,3,2,54
164,3,3,4,54
165,2,1,8,55
166,1,5,7,55
167,6,6,5,55
168,4,2,8,55
169,5,6,4,55
170,5,2,1,56
171,4,3,2,56
172,6,6,4,56
173,4,3,9,56
174,6,5,1,56
175,2,1,2,57
