receipt_id,date,total,store_id
1,2022-07-08,6,1
2,2022-12-04,31,2
3,2022-05-30,53,1
4,2020-07-01,31,1
5,2022-02-13,36,2
6,2023-09-21,49,1
7,2023-06-24,2,1
8,2022-10-18,38,1
9,2024-02-10,24,1
10,2023-11-13,20,2
11,2020-07-06,19,1
12,2023-09-12,80,1
13,2023-03-25,30,1
14,2022-01-15,2,2
15,2020-02-29,55,2
16,2020-08-15,26,2
17,2020-10-30,54,2
18,2023-08-18,75,1
19,2023-12-05,42,2
20,2020-08-23,15,1
21,2020-02-01,28,2
22,2022-09-02,9,2
23,2022-08-23,41,2
24,2021-05-09,36,2
25,2021-09-23,15,2
26,2021-06-24,35,2
27,2023-12-13,21,1
28,2022-12-20,60,2
29,2020-02-18,59,2
30,2020-10-21,50,1
31,2022-04-05,53,2
32,2020-07-02,57,1
33,2023-01-08,119,1
34,2021-07-21,50,2
35,2021-09-15,64,1
36,2023-03-07,60,2
37,2023-05-06,58,2
38,2020-03-07,11,2
39,2023-05-02,13,1
40,2021-02-08,39,1
41,2022-07-31,51,1
42,2023-11-25,36,1
43,2020-11-29,10,1
44,2020-11-08,6,2
45,2020-02-23,23,2
46,2020-12-11,16,2
47,2021-11-19,4,1
48,2021-04-22,14,2
49,2021-08-26,43,1
50,2023-01-21,32,1
51,2020-06-27,10,2
52,2023-02-18,62,2
53,2021-01-09,31,1
54,2023-03-21,22,2
55,2023-05-14,81,2
56,2021-05-25,100,2
57,2022-04-15,2,1
58,2021-02-08,36,1
59,2022-07-30,27,1
60,2024-01-31,36,2
61,2022-04-27,67,1
62,2023-03-29,10,2
63,2021-01-06,41,1
64,2021-09-18,53,2
65,2022-10-26,6,2
66,2022-07-27,70,1
67,2021-03-26,94,2
68,2020-01-27,82,1
69,2021-03-30,67,2
70,2021-01-20,8,1
71,2020-04-28,5,1
72,2020-05-12,3,1
73,2023-06-09,32,1
74,2022-03-25,17,2
75,2021-10-16,30,2
76,2020-08-11,39,1
77,2022-12-21,1,2
